,initial_gdp_share,gdp_per_capita_1990,gdpper_diff,initial_population,color,cum_gdp_share
Iceland,0.012274904515794133,17668.91253576244,-49.59823598820657,254.79999999999995,#fdbf71,0.012274904515794133
Mongolia,0.012679399206139351,2208.1645360351695,-36.064833175655025,2106.000001000001,#6399c7,0.024954303721933482
Finland,0.3018806874577952,22206.196480112307,-23.94167535751205,4986.0000009999985,#fdbf71,0.3268349911797287
Norway,0.337806398404891,29212.12344620381,-23.112528794020882,4241.269468000002,#ea5739,0.6646413895846197
Russia,5.195758428480756,12850.5754615153,-22.340815995935447,148291.92286699996,#fdbf71,5.8603998180653765
Estonia,0.042009743002095756,9820.151839551057,-15.516997633857901,1569.000001,#A9A9A9,5.902409561067472
Sweden,0.5516349638948426,23638.49816426146,-12.713502750136366,8558.999996,#fdbf71,6.454044524962315
Canada,1.9228193671734815,25376.433000093002,-11.904016705185505,27790.67105899997,#ea5739,8.376863892135797
Latvia,0.0717248663370819,9849.989402278863,-10.952132046847515,2670.7,#A9A9A9,8.448588758472878
Kyrgyztan,0.028909490286969524,2397.257121397749,-10.578313745359642,4422.999998,#6399c7,8.477498248759847
Lithuania,0.1239557168228145,12293.93114808094,-9.388834454330727,3697.9999990000006,#fdbf71,8.601453965582662
Belarus,0.17720813843708905,6378.862243928311,-8.7827508562177,10188.999996000004,#A9A9A9,8.778662104019752
Kazakhstan,0.31787781691585976,7123.981998115886,-6.909657826692814,16365.471814,#A9A9A9,9.096539920935612
Denmark,0.34350170926860335,24510.767223276704,-4.403996942422284,5140.000000000001,#ea5739,9.440041630204215
Tajikistan,0.04316613088572372,2985.3837898159163,-3.034569408265877,5303.151997999999,#6399c7,9.483207761089938
Switzerland,0.5944296152989454,32481.764454026186,-2.9619579244364678,6712.000000000001,#ea5739,10.077637376388884
Poland,0.8365086958973953,8048.637386773634,-2.8015899174736525,38118.800004000004,#A9A9A9,10.914146072286279
Czech Republic,0.4522950017782716,16007.64381722731,-1.69608464768619,10363.000001,#fdbf71,11.36644107406455
Austria,0.5285884389356276,25142.283847410963,-1.3660866603567183,7710.882000000002,#ea5739,11.895029513000178
Germany,5.4291653129749005,25068.204136280925,-1.1217598138392137,79433.00000400005,#ea5739,17.324194825975077
Bhutan,0.0025256124567700745,1692.3381924334446,-0.7586504868784842,547.3570010000001,#6399c7,17.326720438431845
Slovakia,0.17676113137582372,12271.48961024713,-0.3329189249028195,5283.0,#fdbf71,17.50348156980767
North Korea,0.056443401659060866,1027.721821568578,-0.029816896910930812,20143.211996000005,#6399c7,17.559924971466728
Ireland,0.16568012605785393,17333.026527529564,1.5884230597715527,3505.8000000000006,#fdbf71,17.725605097524582
United Kingdom,3.638083550290773,23271.273924710084,1.8406128089040394,57338.144190000006,#fdbf71,21.363688647815355
Luxembourg,0.04375353002022169,42019.85613841929,2.314981130593357,381.90000000000003,#ea5739,21.407442177835577
Netherlands,1.053575541897785,25843.867984706245,2.4359858058167467,14951.999998999996,#ea5739,22.461017719733363
Armenia,0.028232834400183583,2921.238230117217,2.9061237147820287,3544.6929969999997,#6399c7,22.489250554133545
Hungary,0.34459125885043723,12182.870761537042,3.0383813889520357,10373.988006,#fdbf71,22.83384181298398
Ukraine,1.1383512496620338,8045.758659275863,3.1889798255265562,51891.999996000006,#A9A9A9,23.972193062646014
Nepal,0.036667558757501544,703.5869331397502,3.616845161339549,19114.166000999998,#6399c7,24.008860621403514
Slovenia,0.08846233666564912,16237.991480864837,3.644993067727113,1998.0999989999998,#fdbf71,24.097322958069164
Belgium,0.6772490333614061,24920.550324855154,4.0359575929744675,9967.400000000003,#ea5739,24.77457199143057
Georgia,0.08023383185407897,5386.927615954756,4.78037191535222,5462.702080999999,#bde2ee,24.85480582328465
Chile,0.23603348209803726,6568.92800835415,6.178237212728737,13178.629034000007,#A9A9A9,25.090839305382687
New Zealand,0.17525630986657423,18642.219813190273,6.4515350810917225,3447.9992339999994,#fdbf71,25.26609561524926
Uzbekistan,0.11115930795684638,1987.793637364625,6.686534998848733,20509.999993999987,#6399c7,25.377254923206106
Moldova,0.04619315312932404,3860.4583559412645,7.750961951622585,4388.638999999999,#bde2ee,25.42344807633543
Romania,0.4968950319858661,7853.021282748105,7.917808535565543,23207.000000000004,#A9A9A9,25.920343108321294
Afghanistan,0.03219374561757371,858.541291584275,7.9182889538388785,13753.126663000001,#6399c7,25.952536853938867
France,3.8418031693061794,24835.629554759606,8.104777222562955,56735.000000999986,#ea5739,29.794340023245045
Croatia,0.17380353724617342,13335.884838347067,8.313346005346114,4779.999999,#fdbf71,29.968143560491217
Argentina,0.6488808713277769,7304.551482663092,8.897584728410703,32580.859669000005,#A9A9A9,30.617024431818994
Uruguay,0.06057883013323121,7154.3835649553175,9.518651267627401,3105.558998,#A9A9A9,30.677603261952225
South Korea,1.3443959017628528,11502.04199923578,10.170131497322659,42869.0,#A9A9A9,32.02199916371508
Serbia and Montenegro,0.24303969699967415,11814.040211802821,10.502579798157601,7545.184995,#A9A9A9,32.26503886071475
Italy,3.7069093557770203,23970.3581607876,10.54257830371401,56718.999999000014,#fdbf71,35.971948216491775
Lesotho,0.004223670921250485,967.4681999632448,10.801934917582422,1601.1960009999998,#6399c7,35.976171887413024
Australia,1.138216820994943,24462.864429454596,10.863494361191583,17065.09903700007,#ea5739,37.114388708407965
Bosnia&Herzegovina,0.014253045711642105,1213.3976384615394,11.56149460371086,4308.197999,#6399c7,37.128641754119606
Macedonia,0.04372199691365842,8398.578647288296,12.800216708347985,1909.348999,#A9A9A9,37.17236375103327
United States,22.25739284540322,32702.492950929405,13.07373590875405,249622.97371399938,#ea5739,59.42975659643649
Bulgaria,0.18082855665966377,7607.487947625173,14.938111271662862,8718.000004999996,#A9A9A9,59.61058515309615
Albania,0.035505432540536445,3958.7603122714536,15.457711706208379,3289.476,#bde2ee,59.64609058563669
Turkey,1.203574313105221,7861.100251329416,15.711763483863324,56153.99999800003,#A9A9A9,60.84966489874191
Fiji,0.006572107465933949,3331.357394146859,15.759359613893167,723.560002,#bde2ee,60.85623700620785
Azerbaijan,0.09365949047189337,4798.334835361641,16.08417048168791,7159.000000000002,#bde2ee,60.94989649667974
Peru,0.2763971872704511,4658.245820461128,16.137605615030967,21762.177,#bde2ee,61.226293683950196
Madagascar,0.03305047670522598,1007.3607100498356,16.279468572670748,12033.275,#6399c7,61.259344160655424
South Africa,0.7985778548966476,8320.812223698864,16.32104636555752,35199.999997000006,#A9A9A9,62.05792201555207
Brazil,2.988118096843501,7328.784351780462,16.32327561021315,149539.84871800008,#A9A9A9,65.04604011239557
Japan,8.918393031923324,26477.725721661973,16.384223418215313,123537.00002299994,#ea5739,73.9644331443189
Mauritius,0.018216949145827603,6321.087188546763,16.994476740037182,1057.0,#A9A9A9,73.98265009346473
China,3.529775380306288,1154.7392608323435,17.03655285858341,1121125.5749370002,#6399c7,77.51242547377102
Tanzania,0.0630489087446723,907.0405320928077,17.48212353376524,25494.236004,#6399c7,77.5754743825157
Liberia,0.003121876943538067,535.8703080566914,17.500704897930948,2136.7179989999995,#6399c7,77.57859625945923
Zambia,0.02879901225196936,1300.456044627548,17.811231848686027,8122.187987999995,#6399c7,77.6073952717112
Swaziland,0.008849023170737371,4214.982047132561,17.859918220536407,770.0,#bde2ee,77.61624429488194
Equatorial Guinea,0.0022157589177408616,2392.2993533142467,17.94987894587455,339.70200100000005,#6399c7,77.61846005379968
Paraguay,0.045539375991579915,3959.0717972723055,18.049098878712893,4218.760001,#bde2ee,77.66399942979126
Gabon,0.04119092949379977,16458.8404945928,18.164267403276437,917.896001,#fdbf71,77.70519035928506
Burundi,0.00819557070205002,528.0785958335355,18.18697981017955,5692.090000999999,#6399c7,77.71338592998711
Ecuador,0.16261113367292065,5807.030778214375,18.262471869910875,10270.397952999998,#bde2ee,77.87599706366004
Rwanda,0.014961415226499339,752.3435460076086,18.311057119203618,7293.6950000000015,#6399c7,77.89095847888653
Sierra Leone,0.008367554009071064,750.8642356312317,18.376751399252537,4087.2219999999993,#6399c7,77.8993260328956
Malawi,0.016930833723052766,657.3693236195685,18.485474858499153,9446.262999999999,#6399c7,77.91625686661865
Cote d'Ivoire,0.07247780631295006,2079.9676239249593,18.571367134868726,12780.257000000003,#6399c7,77.9887346729316
Bangladesh,0.22150279038797177,718.6302533907777,18.623172068722656,113048.50598499997,#6399c7,78.21023746331957
Zimbabwe,0.008087303655545813,282.83058823455616,18.749531590503956,10487.415998000004,#6399c7,78.21832476697512
Comoros,0.0015069987911121685,1269.778635751679,19.273693138154826,435.287314,#6399c7,78.21983176576623
Mexico,2.3981213460558415,10568.25429417963,19.27414815701571,83226.00000199994,#A9A9A9,80.61795311182208
